Adam	A Dong
to divide, separate	phân ly
phosphate fertilizer	phân lân
diverge (deflect) freshets	phân lũ
quantity, dose, quantitative analysis	phân lượng
subclass	phân lớp
subdivision	phân mục
subphylum	phân ngành
half (part)	phân nửa
to distribute, divide	phân phát
to distribute, allot, allocate; distribution	phân phối
independent distributor	phân phối độc lập
decentralization, division or separation of power or authority	phân quyền
to divide	phân ra
disintegration, disaggregation	phân rã
(math) fraction	phân số
articulation	phân tiết
paging	phân trang
conflict	phân tranh
to clarify or explain apologetically	phân trần
delineation of area	phân tuyến
decomposition	phân tách
to disperse, diffuse, scatter; diffusion, scattering	phân tán
highly dispersed	phân tán cao
of two minds	phân tâm
to analyze; analysis	phân tích
syntactical analysis	phân tích cú pháp
bottom-up analysis	phân tích dưới lên
data analysis	phân tích dữ liệu
analyst	phân tích gia
systems analysis	phân tích hệ thống
chemical analysis	phân tích khoa học
top-down analysis	phân tích trên xuống
detailed, minute, meticulous research, analysis	phân tích tỉ mỉ
to analyze a problem, issue	phân tích vấn đề
computer analysis	phân tích điện toán
fresh night-soil	phân tươi
(math) numerator, molecule	phân tử
gram molecule, mole	phân tử gam
molecular weight	phân tử lượng
cast (a play)	phân vai
square centimeter	phân vuông
perplexed, puzzled, undecided	phân vân
mineral fertilizer, inorganic fertilizer	phân vô cơ
mark off into economic zones, zone	phân vùng
green manure	phân xanh
bureau (of a news agency)	phân xã
workshop, shop	phân xưởng
equinox	phân điểm
subgroup, subdivision	phân đoàn
segment, partition, segmentation; to divide up	phân đoạn
nitrogenous fertilizer	phân đạm
to divide, categorize	phân định
segmented, segmental	phân đốt
section (army unit)	phân đội
to condole with (someone)	phân ưu
compost	phân ủ
(1) buxom; (2) carefree, without a care	phây phây
wearisome, tiresome	phè
to overindulge	phè phỡn
alum	phèn
alum	phèn chua
ungracefully broad and flat	phèn phẹt
iron sulfate	phèn đen
gong	phèng la
gong sound	phèng phèng
(1) tasteless; (2) bowels, intestines of animals; (3) to give off, ooze out; (4) fleetingly, quickly; (5) extremely, very	phèo
to give off saliva	phèo bọt mép
permission, authorization	phép
division	phép chia
graphology	phép chiết tự
public law	phép công
civil marriage	phép cưới
addition	phép cộng
residence permit	phép dời
solution	phép giải
subtraction	phép khử
miracle	phép lạ
miracle, charisma	phép mầu
family’s rule of conduct	phép nhà
multiplication	phép nhân
the law of the land	phép nước
magic, sorcery, witchcraft	phép thuật
operation, operator	phép toán
substraction	phép trừ
operation	phép tính
differential calculus, infinitesimal	phép tính vi phân
rule, regulation	phép tắc
measure, measurement	phép đo
actinometry	phép đo nhật xạ
(1) to spank; (2) to brag, boast	phét
to brag, boast	phét lác
to spank	phét đít
(1) to comment on; (2) to criticize	phê
to comment, criticize; criticism	phê bình
to approve, ratify, accept, confirm	phê chuẩn
to approve	phê duyệt
carbolic acid, phenol	phê non
to judge	phê phán
to mark a paper, exam	phê điểm
wattle	phên
fat, abundant, fertile	phì
to burst out laughing	phì cười
fertile	phì nhiêu
fat, plump	phì nộn
puffing, panting	phì phì
to pant, breathe loudly	phì phò
thai canton headman	phìa
Thai ruling class	phìa tạo
to swell	phình
to swell (outwards)	phình ra
to waste, squander; expenses	phí
premium	phí bảo hiểm
waste, wasted	phí hoài
tuition	phí học
to waste, squander exceptional	phí phạm
to waste energy	phí sức
to waste time	phí thì giờ
to waste time with	phí thì giờ với
to waste time	phí thời giờ
charge, cost, expense	phí tổn
transportation cost	phí tổn chuyên chờ
production cost	phí tổn sản xuất
telephone charges, bill	phí tổn điện thoại
side, way, direction	phía
on the part of Vietnam	phía Việt Nam
in the north, in a northern direction	phía bắc
below, under, lower	phía dưới
right side	phía mặt
southern direction, southern side	phía nam
exterior, outside	phía ngoài
after, behind, afterwards	phía sau
inside	phía trong
the wrong side (of something)	phía trái
above	phía trên
front, in front (of)	phía trước
in front of (one’s face)	phía trước mặt
western side, west	phía tây
southwest side, direction	phía tây nam
east(ern) side, direction	phía đông
thermos flask, vacuum flask; plug	phích
a three-pin plug	phích ba chạc
filter	phích nước
fret, digital, key (on a keyboard)	phím
music	phím loan
hot key	phím nóng
feet	phít
to escort, assist	phò
prince consort	phò mã
follow and aid, act as an aid	phò tá
space capsule (part which contains humans)	phòng (lái) phi thuyền
(1) room, office; (2) to prevent	phòng
doctor’s office	phòng bác sĩ
prevention, prophylactic, preventive	phòng bệnh
to take precautions against, be vigilant	phòng bị
single room (i.e. room for one person)	phòng chiếc
room for rent	phòng cho thuê
to prevent fires; fire-prevention	phòng cháy
to guard against, prevent	phòng chống
disaster prevention, management	phòng chống thiên tai
dean’s faculty	phòng chủ nhiệm khoa
bathroom, toilet, lavatory	phòng cầu tiêu
preventive of exidemy	phòng dịch
den, playroom, rec room, lounge	phòng giải trí
office, writing-cabinet	phòng giấy
laundry room	phòng giặt đồ
prevent, guard against	phòng giữ
drought prevention	phòng hạn
classroom, meeting room, conference room	phòng học
meeting-place, boardroom, assembly-room, common room	phòng họp
fire prevention; to prevent fire	phòng hỏa
provide against all eventualities, keep at hand for eventual use	phòng hờ
in case	phòng khi
in prevention of mishaps	phòng khi bất trắc
if, in case war breaks out	phòng khi chiến tranh bùng nổ
guest room, living room, sitting room	phòng khách
reception-room, stateroom	phòng khánh tiết
air defense; anti-aircraft	phòng không
nuptial chamber	phòng loan
cabin (of an aircraft)	phòng lái
to prevent fire, fire prevention	phòng lửa
one’s room	phòng mình
clinic, doctor’s office, consultation room	phòng mạch
operating room	phòng mổ
living room, lounge	phòng nghe nhạc
bedroom	phòng ngủ
to prevent, deter, ward off	phòng ngừa
language lab	phòng ngữ âm
to defend	phòng ngự
French second bureau, French intelligence service	phòng nhì
what kind of room	phòng như thế nào
self-defense; to protect oneself, defend oneself	phòng thân
lab, laboratory	phòng thí nghiệm
reading room	phòng thư viện
chamber of commerce	phòng thương mại
to defend; defense	phòng thủ
collective defense	phòng thủ cộng đồng
gallery, exhibition hall	phòng triển lãm
tea-room, tea-shop	phòng trà
showroom (e.g. automobile)	phòng trưng bày
defense perimeter, defense line	phòng tuyến
my room	phòng tôi
holding cell	phòng tạm giữ
bathroom	phòng tắm
one’s own room	phòng viêng
study	phòng văn
staff room	phòng văn thư
to protect, guard, defend	phòng về
coast guard	phòng về duyên hải
to protect, guard	phòng vệ
restroom	phòng vệ sinh
to foresee, anticipate	phòng xa
storage closet, cupboard	phòng xép
courtroom	phòng xử
dining room	phòng ăn
double room (i.e. room for two persons)	phòng đôi
waiting room	phòng đợi
house, dwelling	phòng ốc
(1) to entrust (2) deputy, vice-, assistant	phó
junior doctor, second best examinee	phó bảng
deputy secretary, minister	phó bộ trưởng
deputy chairman, vice-chairman, deputy	phó chủ nhiệm
vice-chairman, vice-president	phó chủ tịch
deputy director, vice-president	phó giám đốc
reader, associate professor	phó giáo sư
attend a meeting	phó hội
vice president (of society)	phó hội trưởng
vice-consul	phó lãnh sự
deputy village headman, deputy village mayor	phó lý
cheese	phó mát
entrust completely, give free hand to deal with	phó mặc
adverbial locution	phó ngữ
proceed to one’s post	phó nhậm
assistant bureau chief	phó phòng
assistant envoy, deputy resident (under French domination)	phó sứ
to trust, entrust, confide	phó thác
paratyphoid	phó thương hàn
private citizen	phó thường dân
deputy governor	phó thống đốc
deputy prime minister, deputy premier	phó thủ tướng
to countersign	phó thự
master (of sciences)	phó tiến sĩ
deputy chief (of a provincial service)	phó ty
second-in-command	phó tướng
deputy general, assistant general	phó tổng
vice-president	phó tổng thống
adverb	phó từ
deputy rector, deputy director	phó viện trưởng
deputy chief of the secretariat	phó văn phòng
viceroy	phó vương
rear admiral, vice admiral	phó đô đốc
deputy ambassador	phó đại sứ
(1) to enlarge; (2) to release, throw, launch, let fly, fling, fire	phóng
to write on impulse	phóng bút
to set fire to something, set something on fire	phóng hỏa
free, liberal	phóng khoáng
javelin throwing	phóng lao
loose, dissipated, dissolute	phóng lãng
to launch (into orbit), jump up (into, onto)	phóng lên
to jump into bed	phóng lên giường
to jump into a car	phóng lên xe
to throw oneself down	phóng người xuống
to launch a missile, rocket	phóng phi đạn
to rush out of, shoot out of	phóng ra
to rush outside	phóng ra phía ngoài
to leave uncared for, neglect, set free (animal)	phóng sinh
news report	phóng sự
to free, release, liberate, discharge	phóng thích
to test fire	phóng thử
to test fire a rocket	phóng thử tên lửa
ejaculate	phóng tinh
to launch a missile, rocket	phóng tên lửa
free, loose, (running) wild; freedom	phóng túng
to defecate	phóng uế
reporter, correspondent	phóng viên
foreign reporter, correspondent	phóng viên ngoại quốc
to rush into	phóng vào
to launch a satellite	phóng vệ tinh
radiation, radioactivity; radioactive	phóng xạ
nuclear radiation	phóng xạ nguyên tử
electric discharge	phóng điện
immoral, loose	phóng đãng
to exaggerate, enlarge	phóng đại
to show, display	phô
to display, show off, exhibit	phô bày
to express, set forth	phô diễn
cheese	phô mai
gramophone, phonograph	phô nô
boast, vaunt, praise oneself, show off, flash about	phô phang
to show off, flaunt, display	phô trương
to show off one’s ability	phô tài
embryo, rough draft	phôi
blastula, germinal vesticle	phôi nang
to wilt, wither, fade	phôi pha
embryology	phôi sinh học
embryo	phôi thai
buxom, plump	phôm phốp
phone, telephone	phôn
font; scenery, scene, background (of a painting)	phông
fount, font	phông chữ
swell like with edema, be edematous	phù
fickle, unstable	phù bạc
exorcise with incantations and a charm	phù chú
to wander aimlessly	phù du
fair maid, fair lady	phù dung
act as a bridesmaid to, be a bridesmaid	phù dâu
badge	phù hiệu
(of god) protect and help	phù hộ độ trì
to agree, conform	phù hợp
to agree with, be in accordance with	phù hợp với
floating bridge, pontoon	phù kiều
areometer	phù kế
floating	phù lưu
assist in disaster	phù nguy
edema	phù nề
facial edema	phù nề mặt
peripheral edema	phù nề ngoại biên
uncertain, unpractical	phù phiếm
magic, incantation	phù phép
act as a best man, be a best man to	phù rể
best man	phù rễ
alluvium	phù sa
lead the cortege	phù tang
edema	phù thũng
take sides with (support) the influential people	phù thịnh
sorcerer, magician	phù thủy
to assist, help	phù trì
elephantiasis	phù voi
rich	phú
innate, inborn	phú bẩm
prosperous, powerful (country)	phú cường
rich (wealthy) family	phú gia
local influential rich man	phú hào
rich, wealth	phú hậu
police	phú lít
rhymed prose	phú lục
rich farmer	phú nông
rich and noble	phú quí
a rich country	phú quốc
gifted, talented	phú tính
rich man	phú ông
happiness, good fortune	phúc
ribes, raspberry	phúc bồn tử
second examination	phúc hạch
kind-hearted, gentle and upright	phúc hậu
happiness and unhappiness	phúc họa
check examination papers, second examination	phúc khảo
blessing, benediction	phúc lành
happiness and wealth	phúc lộc
peritonaeum	phúc mạc
share of happiness one was blessed with	phúc phận
to change, modify, revise a judgment	phúc thẩm
savior	phúc tinh
verify, check (facts, figures)	phúc tra
to report; report	phúc trình
to review a sentence	phúc án
reply, answer (a letter)	phúc âm
blessing	phúc đức
blessing handed down by ancestors	phúc ấm
lava	phún nham
lava	phún thạch
jet plane, jet aircraft	phún xạ cơ
bring offerings to a deceased person	phúng
allegory	phúng dụ
to present one’s condolences	phúng điếu
minute	phút
last minute	phút chót
in a very short moment, in an instant, in a jiffy	phút chốc
minute(s) later	phút sau
suddenly, all of a sudden	phút đâu
in next to no time, all of a sudden	phút đầu
minute (of time)	phút đồng hồ
impetuous	phăm phăm
to rush at impetuously	phăm phăm lao vào
in perfect coordination	phăm phắp
to act right away, immediately	phăng
completely silent	phăng phắc
joker; done for, kaput	phăng teo
have a belly swollen (with food)	phĩnh bụng
coarse, violent	phũ
brutal, harsh, ruthless, disloyal	phũ phàng
move, swing, sway	phơ phất
to bring to light	phơa bày ra ánh sáng
(1) to display, explain; (2) to dry (in the sun), expose (to the sun)	phơi
to display, expose	phơi bày
to hang nets to dry (in the sun)	phơi lưới
to put out in the sun, expose to the sun	phơi nắng
slightly excited, softly stimulated	phơi phới
leave one’s mortal remains somewhere	phơi thây
defeated	phơi áo
(1) direction, distance, (cardinal) point (of the compass); (2) method, way, means, facility; (3) perfume, fragrant; (4) square; (5) hindrance, harm; (6) to compare; (7) measure of grain	phương
the north	phương bắc
all the more	phương chi
line, direction, policy, guideline	phương châm
means, method	phương cách
the only way	phương cách duy nhất
good name, good reputation	phương danh
aspect, respect, viewpoint	phương diện
course, direction	phương hướng
to be harmful, detrimental, harm, hurt	phương hại
southward	phương nam
local saying-dialect	phương ngôn
dialect	phương ngữ
the north	phương nắc
buxom, portly	phương phi
method, means, way	phương pháp
flag semaphore	phương pháp báo hiệu bằng cờ
administrative method, means	phương pháp cai trị
manufacturing method	phương pháp chế tạo
scientific method	phương pháp khoa học
methodology	phương pháp luận
latest method	phương pháp mới nhất
research method	phương pháp nghiên cứu
analytical method	phương pháp phân tích
photoengraving, photo etching	phương pháp quang khắc
experiment method	phương pháp thực nghiệm
marketing method	phương pháp tiếp thị
variance	phương sai
method, way	phương sách
prescription, remedy	phương thuốc
principle, procedure	phương thức
startup procedure	phương thức khởi động
grounding procedure	phương thức nối đất
mean, measure, method, media, facility	phương tiện
means of transportation	phương tiện chuyên chở
basic means, method	phương tiện căn bản
different mean, measure	phương tiện khác
technology (as a means of doing something)	phương tiện kỹ thuật
service facility	phương tiện phục vụ
means of communication	phương tiện truyền thông
modern method, technique	phương tiện tối tân
(mathematical) equation	phương trình
transform equation	phương trình biến đổi
algebraic equation	phương trình đạo số học
inverse equation	phương trình đối ngược
be of age	phương trưởng
cell (of a bonze)	phương trượng
western, occidental, European	phương tây
perfect, excellent	phương viên
azimuth	phương vị
mean, method, type, manner	phương án
the East, Occident	phương đông
see phúc	phước
wealth and happiness	phước lộp
good fortune	phước đức
Buddhist pennon	phướn
manger, feeding-trough	phướng
block, ward	phường
an octet	phường bát âm
handicrafts guild	phường hội
group of singers, choir, theatrical	phường tuồng
(1) see phụng; (2) phoenix; (3) flame tree, royal poinciana	phượng
male phoenix and female phoenix-phoenix	phượng hoàng
flame tree, royal poinciana	phượng vĩ
to tell stories; idle (talk)	phượu
whack (noise of fans, sails, etc.)	phạch
(1) to take; (2) to commit (a crime), offend	phạm
to disobey religious taboos	phạm giới
to break or violate the law /rules; illicit, illegal	phạm luật
to make or commit an error, make a mistake, go wrong	phạm lỗi
criminal, culprit	phạm nhân
war criminal	phạm nhân chiến tranh
common criminal	phạm nhân hình sự
to break the law; illegal	phạm pháp
swoon during sexual intercourse, fall sick after sexual intercourse	phạm phòng
break examination regulations	phạm quy
show irreverence to superiors	phạm thượng
category	phạm trù
to commit a crime, sin; crime offence; sinful, guilty	phạm tội
violent crime, brutal crime, vicious crime	phạm tội ác
war crime	phạm tội ác chiến tranh
domain, sphere, field, scope, sphere, range	phạm vi
technical field	phạm vi chuyên môn
sphere of action	phạm vi hoạt động
geographical scope	phạm vi lãnh thổ
scope of the specification	phạm vi điều chỉnh
pot for cooked rice	phạn
Sanskrit (as the language of Buddhism)	phạn chữ
restaurant	phạn điếm
scythe	phạng
to punish; penalty, punishment, fine	phạt
punish by terms of custody	phạt giam
pecuniary penalty	phạt tiền
punish by terms of imprisonment	phạt tù
fine (somebody) for a common nuisance	phạt vi cảnh
to (punish by a) fine	phạt vạ
to fine heavily	phạt vạ nặng
penalty	phạt đền
reek, breath	phả
genealogy	phả hệ
genealogy	phả hệ học
(1) correct, right (opposite of left), right (opposite of wrong); (2) must, have to	phải
to have to know	phải biết
fall victim to somebody's charms	phải bả
if	phải chi
appropriate, moderate, reasonable, correct	phải chăng
proper, decent	phải cách
only	phải cái
at a reasonable price	phải giá
faint from a cold	phải gió
be born at an inauspicious hour, die at an inauspicious hour	phải giờ
at an unlucky moment of	phải khi
(tag question)	phải không
to have to be	phải là
must do (something)	phải làm sao
be in love with	phải lòng
have (suffer) a relapse	phải lại
sensible, righteous	phải lẽ
know what to say	phải lời
well-matched	phải lứa
corresponding (to), conformable (to)	phải mặt
it must be recognized that	phải nhìn nhận rằng
conform to the rule of conduct	phải phép
right or wrong	phải quấy
that’s correct, that’s right	phải rồi
to have to admit that	phải thú thật là
right and wrong, right or left, correct or incorrect	phải trái
get into trouble	phải tội
have to go	phải đi
to have to go right away, have to leave immediately	phải đi liền
to have to go to work	phải đi làm
to have to go to work early	phải đi làm sớm
get (be given) the cane, be whipped	phải đòn
have taken a leaf from the book of, walk in the shoes of	phải đúa
reasonable, sensible	phải đường
dutiful	phải đạo
(1) wooden bed, camp bed; (2) to turn back, oppose, be contrary; (3) to counter, betray	phản
to reject, deny	phản bác
to betray one’s friend	phản bạn
to be unfaithful to, to betray	phản bội
to betray	phản bội
antiwar	phản chiến
to reflect; reflection	phản chiếu
reversible	phản chuyền
counter-evidence	phản chứng
to retract one’s statement, contradict oneself	phản cung
counter-revolutionary, antirevolutionary	phản cách mạng
counter-statement, rebuttal	phản cáo
to counterattack; counteroffensive	phản công
anticommunist	phản cộng
reverse, the other side	phản diện
counter guerilla warfare	phản du kích chiến
anti-democratic	phản dân chủ
antipopular	phản dân hại nước
to betray the people	phản dận
counter-espionage, counter-intelligence	phản gián
counter-spy; counterespionage	phản gián điệp
anti-constitutional	phản hiến
to go back, return to; feedback	phản hồi
antiscientific	phản khoa học
to offer or put up resistance, protest	phản kháng
to counter-attack	phản kích
rebellious; rebel, rebellion, revolt	phản loạn
immoral, unethical	phản luân
irrational‎	phản lý
counter-order	phản lệnh
reaction	phản lực
jet airliner	phản lực cơ
jumbo jet	phản lực cơ khổng lồ
countercheck	phản nghiệm
opposite, antonym	phản nghĩa
rebellion, revolt; rebellious	phản nghịch
trestle-bed	phản ngựa
abolitionist	phản nô
to fire back	phản pháo
illegal	phản pháp
treacherous	phản phúc
counter-ambush	phản phục kích
reflected light	phản quang
to betray one’s country	phản quốc
reflexive	phản thân
betray	phản thùng
to be against progress, move backwards	phản tiến hóa
to betray	phản trắc
counter-propaganda	phản tuyên truyền
counter-intelligence	phản tình báo
rebel	phản tặc
introspection	phản tỉnh
diamagnetic	phản từ
antisocial	phản xã hội
to reflect, react; reflection, reaction	phản xạ
to recount, tell, inform	phản ánh
theory of reflection	phản ánh luận
to reflect an awareness of Zen	phản ánh ý thức về thiền đạo
anti-imperialist	phản đế
converse, antithesis	phản đề
counter-proposal	phản đề nghị
to oppose, object, protest; opposition	phản đối
to oppose a war	phản đối chiến tranh
to oppose a policy	phản đối chính trị
to react; reactionary, revolutionary	phản động
depict, picture, portary, represent, paint, express; report	phản ảnh
to react; reaction	phản ứng
chain reaction	phản ứng chuyền
What was his reaction?	phản ứng của ông thế nào
allergic reaction or allergic test	phản ứng dị ứng
chemical reaction	phản ứng hóa học
interaction, mutual reaction	phản ứng hỗ tương
reactor	phản ứng khí
nuclear reactor	phản ứng khí phá nhân
to react strongly	phản ứng mạnh mẻ
side effect	phản ứng phụ
hypersensitivity	phản ứng quá mẫn
mild reaction	phản ứng quá nhẹ
endothermic reaction	phản ứng thu nhiệt
lighting fast reaction	phản ứng thần tốc
passive reaction (to something)	phản ứng thụ động
natural reaction	phản ứng tự nhiên
scythe	phảng
(of thoughts, memories) to fleet by, linger; vaguely, seemingly, so to speak, as it were	phảng phất
chalk, powder, flour	phấn
ardent, eager; enthusiasm	phấn chấn
pollen, anther-dust	phấn hoa
powder and perfume, female charm	phấn hương
excited, emboldened	phấn khích
enthusiastic, excited, encouraged	phấn khởi
pastel	phấn màu
talcum powder	phấn rôm
face-powder and lipstick	phấn son
cosmetics, makeup; to make oneself up, put on make up	phấn sáp
feather duster	phấn trần
to strive, struggle	phấn đấu
be on tenterhooks, be in anxious suspense	phấp phỏng
to wave	phất
to wave a flag	phất cờ
(1) to float, flutter, quiver; (2) loiter about; (3) work half-heartedly	phất phơ
feather duster, feather brush	phất trần
part, portion, share	phần
part, section, portion, share	phần
last part	phần chót
header (of a letter), subject field	phần chủ đề
the rest, the remainder	phần còn lại
hardware	phần cứng
bottom part, root	phần gốc
the best share	phần hơn
instructions (for doing something)	phần hướng dẫn
field, area of science	phần khoa học
decimal (fraction)	phần lẻ
majority, most, the greater part, the major part	phần lớn
for the most part (is)	phần lớn là
one’s part, share (of something)	phần mình
tenth	phần mười
software	phần mềm
tomb, grave	phần mộ
ancestral grave	phần mộ tổ tiên
part one	phần một
the greatest part, most	phần nhiều
in part, partly, some extent, a certain degree	phần nào
partly (to do something), partly (to do something else)	phần nào ~ phần nào
contents (of a letter, message)	phần nội dung
save (food, etc.) for someone	phần phò
appendage, complement	phần phụ
as for me, for my part	phần tao
body part	phần thân thể
prize, recompense	phần thưởng
percent	phần trăm
as for me, for my part	phần tôi
element	phần tử
a bad egg	phần tử bất hảo
control element	phần tử điều khiển
firmware	phần vững
as for him/you, as for his/your part	phần ông
electrical component	phần điện
majority, most, greater, part	phần đông
section, piece of land	phần đất
(1) dye; (2) quality, class; thing, product, good, article	phẩm
quality	phẩm chất
personal dignity, human dignity	phẩm cách
mandarins’ ranks	phẩm cấp
dignity	phẩm giá
mandarins' grades	phẩm hàm
(good) conduct, behavior	phẩm hạnh
grade	phẩm loại
uniform	phẩm phục
mandarins’ ranks	phẩm trật
mandarins’ titles, dignity	phẩm tước
article, product	phẩm vật
write down one’s appreciation (of a poem)	phẩm đề
feces, excrement	phẩn
vibrio	phẩy khuẩn
lid, shade	phẫn
be bitterly disappointed, be angered by disappointment	phẫn chí
be exasperated and indignant	phẫn khích
lid of a pot	phẫn nồi
angry, upset, indignant	phẫn nộ
indignant	phẫn uất
lampshade, shade	phẫn đèn
surgery	phẫu thuật
surgeon	phẫu thuật viên
condition, fate, status, station, rank, place, position	phận
unhappy lot, misfortune	phận bạc
condition of the weaker sex	phận bồ
a humble station	phận hèn
duty, obligation	phận sự
bodhisattva kwan yin	phật bà
franc (monetary unit)	phật lăng
Buddhist law, Buddha sasana, dharma	phật pháp
dalai-lama, grand lama	phật sống
Buddha’s hand, finger citron	phật thủ
Gautama Buddha	phật tổ
vex, be vexed	phật ý
pagoda	phật đường
to be absolutely silent	phắc
even, smooth, flat, level	phẳng
smooth	phẳng lì
calm, quiet, uneventful	phẳng lặng
neat and smooth	phẳng phiu
smooth, even	phẳng phắn
to depose, dethrone, abandon	phế
disabled veteran	phế binh
vesicule, vessel	phế bào
to abolish, nullify	phế bỏ
pneumococus	phế cầu khuẩn
decadence and prosperity	phế hưng
waste, scrap	phế liệu
depose one king and replace him by another	phế lập
alveolus	phế nang
invalid, disabled person	phế nhân
waste, substandard product	phế phẩm
lungs and intestines, internal, organs	phế phủ
bronchus	phế quản
waste, salvage	phế thải
to depose	phế truất
abolish	phế trừ
ruins	phế tích
the ruins of Angkor	phế tích Ăng co
infirmity	phế tật
pneumonia	phế viêm
refuse, waste material	phế vật
pneumogastric	phế vị
deposed (dethroned) king	phế đế
losing freshness, bleached	phếch
to daub, coat	phết
to butter, spread butter on	phết bơ
beat	phễn
to give the little boy a beating	phễn cho thằng bé mấy roi
funnel	phễu
fat, obese	phệ
pot-bellied	phệ bụng
boaster, braggart, showoff	phệnh phạo
satisfied, content; to slander, defame	phỉ
to reproach, childe, reprove	phỉ báng
satisfied, content	phỉ chí
to one’s heart’s content	phỉ dạ
to fulfill one’s wishes, realize one’s aspirations	phỉ nguyền
to spit (at, upon), insult	phỉ nhổ
shabby gentility	phỉ phong
to cheat, deceive, dupe	phỉnh gạt
feel flattered	phỉnh mũi
toady (to somebody)	phỉnh nịnh
coax	phỉnh phờ
chubby, fat	phị
upset, unhappy face	phị mặt
thud	phịch
to gush, spout	phọt
to gush out	phọt ra
to burn	phỏng
make a rough translation, make a free translation	phỏng dịch
bionics	phỏng sinh học
to copy, imitate	phỏng theo
to adapt	phỏng tác
calculate roughly, estimate	phỏng tính
emulation	phỏng tạo
interview; to interview	phỏng vấn
telephone interview	phỏng vấn bằng điện thoại
direct interview	phỏng vấn trực tiếp
to guess, speculate, conjecture	phỏng đoán
business district, downtown; street	phố
streets	phố phường
streets	phố xá
correspond (to with), conform (to), put together; to distribute; to mate, marry	phối
perspective	phối cảnh
to coordinate, combine, mate; synchronization, coordination	phối hợp
synchronization	phối hợp hoạt động
to carry out combined operations	phối hợp tác chiến
instrument	phối khí
tone values	phối màu
spouse	phối ngẫu
instrument	phối nhạc
color blending	phối sắc
be attached, subordinated	phối thuộc
arrange	phối trí
dubbed or recorded music	phối âm
to speed	phống
plump, stout	phốp pháp
phosphorus	phốt pho
phosphate	phốt phát
luxuriant	phồn
bustling, lively, noisy and gaudy	phồn hoa
prosperous, thriving	phồn thịnh
complicated	phồn tạp
prosperous	phồn vinh
to swell, bloat	phồng
shrimp-chips, prawn crackers	phồng tôm
to distribute, diffuse, make public, announce, spread, disseminate; popular, widespread, universal	phổ biến
to distribute widely	phổ biến nhiều nơi
to distribute widely; widespread distribution	phổ biến rộng rãi
to publish, distribute on the internet	phổ biến trên mạng
the spread, proliferation of nuclear weapons	phổ biến vũ khí nguyên tử
to generalize, universalize, make widespread, popularize, make popular	phổ cập
commonly used, common	phổ dụng
genealogy	phổ hệ
to set to music	phổ nhạc
universal concept	phổ niệm
spectrometer	phổ quát
general, common, universal, popular; compulsory education	phổ thông
universal suffrage	phổ thông đầu phiếu
frequency (band), spectrum	phổ tần
perform universal salvation	phổ độ
lung	phổi
wear one’s heart upon one’s sleeve	phổi bò
be blown or puffed up, swell	phổng
clay statue of giant guard, toy earthen statue	phỗng
leave quickly (a place)	phới
merry, gay, lively, jolly, euphoric	phớn phở
to touch or stroke lightly, graze	phớt
to defy, ignore, bypass, turn a deaf ear or a blind	phớt lờ
to touch lightly	phớt nhẹ
to be indifferent, pretend not to know, ignore	phớt tĩnh
emotionless, vacant	phớt tỉnh
to turn a completely blind eye to life, show	phớt đời
tired, worn out	phờ
seedy	phờ phạc
Vietnamese noodle soup served with beef or chicken	phở
underdone beef noodle soup	phở tái
browned beef noodle, fried noodles	phở xào
noodle soup with beef wine sauce	phở xốt vang
make widesread sautéed beef noodle soup	phở áp chảo
to help, assist, aid; secondary, attached, assistant, auxiliary	phụ
to betray	phụ bạc
supplement	phụ bản
kitchen maid, kitchen hand	phụ bếp
regent	phụ chánh
advisor, regent; to revise, correct	phụ chính
annotate	phụ chú
one who is equal to one’s father	phụ chấp
allowance	phụ cấp
family allowance	phụ cấp gia đình
neighboring, surrounding, adjacent	phụ cận
additive, adjuvant	phụ gia
assistant (in university), instructor	phụ giáo
to help, assist, aid	phụ giúp
assistant-lecturer	phụ giảng
king-father	phụ hoàng
father and elder brother, parents	phụ huynh
patriarchy, patriarchal, paternity	phụ hệ
to ape, imitate, follow in somebody’s footsteps	phụ họa
gynecology	phụ khoa
assistant, instructor (in university)	phụ khảo
spare parts	phụ kiện
driver’s mate	phụ lái
to let down, disappoint	phụ lòng
appendix, addendum, supplement	phụ lục
parents	phụ mẫu
ungrateful, thankless, unfaithful	phụ nghĩa
woman	phụ nhân
woman	phụ nữ
old woman	phụ nữ cao niên
topless woman	phụ nữ ngực trần
to forsake	phụ phàng
additional fee, supplementary fee	phụ phí
by-product	phụ phẩm
secondary, dependent, subordinate, dependent on; accessory	phụ thuộc
to be dependent upon one’s family	phụ thuộc gia đình
functional dependency	phụ thuộc hàm
father, dad	phụ thân
assessor, juror	phụ thẩm
supplement (to a newspaper)	phụ trang
to undertake, assume responsibility for, be in charge of	phụ trách
supplement (to a newspaper)	phụ trương
additional, extra	phụ trội
auxiliary	phụ trợ
secondary axis	phụ trục
assistant, aide; to aide, assist	phụ tá
assistant director	phụ tá giám đốc
be unfaithful, be love-lorn	phụ tình
spare parts, accessories	phụ tùng
additional charge, load	phụ tải
affix	phụ tố
adjunct	phụ từ
agitation and propaganda among women	phụ vận
consonant	phụ âm
bilabial consonant	phụ âm hai môi
labio-dental consonant	phụ âm môi răng
insert	phụ đính
give extra-class help	phụ đạo
subtitle (in a motion picture)	phụ đề
be ungrateful (to somebody for something)	phụ ơn
break an agreement, not to live up to a pledge	phụ ước
